duration,service_usage,lost_cars,mean_delay_time,effective_interarrival_mean
36000,36000,112,5284.093457943925,337.5377358490566
36000,36000,118,5745.81,362.75757575757575
36000,35857,86,5857.595744680851,380.03225806451616
36000,36000,112,5489.366972477064,332.7962962962963
36000,36000,69,4148.669291338582,283.1904761904762
36000,36000,84,4975.336363636364,327.1834862385321
36000,35357,87,4705.5,305.5826086956522
36000,35751,100,6020.343434343435,364.35714285714283
36000,35966,85,4251.6984126984125,282.848
36000,35929,77,4940.45045045045,319.6363636363636
36000,35986,20,2506.5238095238096,243.41780821917808
36000,35317,75,4410.140495867769,296.28333333333336
36000,35890,71,4400.936507936508,283.472
36000,35918,61,4196.474074074074,266.7686567164179
36000,35893,77,4364.058823529412,302.64406779661016
36000,36000,106,5584.616161616162,353.85714285714283
36000,35945,111,5125.117117117117,326.1818181818182
36000,36000,109,4892.364406779661,307.35897435897436
36000,35729,112,6120.886597938144,367.1354166666667
36000,36000,112,5245.414414414415,326.09090909090907
36000,35765,93,4573.950819672131,291.25619834710744
36000,35463,56,4072.8778625954196,274.5769230769231
36000,35706,82,4153.046511627907,280.5703125
36000,35977,91,5326.972222222223,332.6448598130841
36000,35901,61,4083.381679389313,270.3692307692308
36000,35947,88,4671.736,288.63709677419354
36000,36000,81,4320.504,281.26612903225805
36000,35917,82,5222.544642857143,321.5855855855856
36000,35360,77,4067.3650793650795,280.28
36000,36000,99,4516.341463414634,293.3114754098361
36000,35689,119,6261.627659574468,369.44086021505376
36000,35873,73,4648.73949579832,301.135593220339
36000,36000,70,4635.935483870968,291.780487804878
36000,35664,57,3504.3972602739727,238.5655172413793
36000,35956,141,5649.287128712871,356.86
36000,35928,74,4987.172727272728,322.4403669724771
36000,35879,110,5096.368421052632,306.37168141592923
36000,36000,81,4261.530769230769,276.51162790697674
36000,35841,96,5314.645454545454,327.77064220183485
36000,35745,82,4678.991452991453,300.87068965517244
36000,35809,87,5229.0,334.803738317757
36000,35915,91,4704.032520325203,290.3196721311475
36000,35906,74,4285.213114754099,282.09090909090907
36000,36000,95,4976.634782608696,312.7280701754386
36000,36000,106,5154.745283018868,324.3142857142857
36000,35795,86,4929.64705882353,351.84158415841586
36000,36000,99,5333.3302752293575,323.75925925925924
36000,35847,69,4308.69696969697,269.9541984732824
36000,36000,88,4429.207207207207,323.41818181818184
36000,36000,89,4769.294117647059,299.5508474576271
36000,36000,41,3968.216,280.7903225806452
36000,35980,82,4494.201680672269,304.2118644067797
36000,35454,95,5161.818181818182,321.908256880734
36000,35523,63,4129.774436090225,271.06060606060606
36000,35505,95,4704.026315789473,315.86725663716817
36000,36000,103,4673.764705882353,301.60169491525426
36000,35690,103,4935.6,327.25688073394497
36000,36000,58,3582.6442953020132,238.97297297297297
36000,35958,122,5382.418181818181,329.3394495412844
36000,35990,46,3926.7175572519086,274.2153846153846
36000,35610,93,4238.040322580645,277.4146341463415
36000,36000,85,4810.053097345132,318.33035714285717
36000,35979,74,3817.0220588235293,264.7037037037037
36000,35994,112,5123.379310344828,312.6434782608696
36000,35920,72,4242.81746031746,282.68
36000,36000,107,4352.229508196721,296.3471074380165
36000,35937,102,5324.834951456311,352.03921568627453
36000,35951,90,4850.964912280701,315.83185840707966
36000,35891,82,5572.99,357.77777777777777
36000,36000,96,4758.254237288135,305.36752136752136
36000,35551,102,5335.429906542056,331.25471698113205
36000,35584,59,4573.663934426229,292.05785123966945
36000,36000,86,4608.432203389831,299.20512820512823
36000,35698,115,5746.079207920792,355.58
36000,35545,66,3446.769230769231,277.4186046511628
36000,36000,61,4329.976377952756,283.8412698412698
36000,35773,78,4325.879032258064,288.0975609756098
36000,36000,69,4273.030769230769,277.3410852713178
36000,35812,91,4725.478632478633,304.33620689655174
36000,35668,65,4138.4375,279.21259842519686
36000,36000,50,4495.784,288.4516129032258
36000,36000,68,4815.103448275862,306.1913043478261
36000,35607,85,5180.063636363637,324.9724770642202
36000,35987,100,5121.098214285715,320.6756756756757
36000,35740,104,5989.53,360.020202020202
36000,35767,76,4540.2786885245905,292.1735537190083
36000,35982,89,5217.4324324324325,319.3272727272727
36000,36000,65,4233.0887096774195,288.4959349593496
36000,35801,99,4756.127118644068,300.77777777777777
36000,35875,74,4776.634782608696,310.0964912280702
36000,35418,96,6151.978260869565,390.2857142857143
36000,35976,84,5247.378640776699,351.29411764705884
36000,34737,98,5120.134615384615,340.71844660194176
36000,35746,80,5129.660194174758,349.04901960784315
36000,36000,114,5145.906779661017,305.7692307692308
36000,36000,110,5276.0485436893205,349.38235294117646
36000,36000,80,5158.125,305.98198198198196
36000,35550,57,4467.88524590164,293.10743801652893
36000,36000,91,4747.654867256637,317.48214285714283
36000,36000,95,5157.166666666667,329.9065420560748
36000,35930,108,4946.785714285715,318.27927927927925
36000,35554,67,4641.01652892562,296.51666666666665
36000,35200,71,3824.5873015873017,281.184
36000,35718,80,4375.286885245901,286.8264462809917
36000,35514,77,4375.504201680672,301.4406779661017
36000,35989,79,5043.982142857143,322.0
36000,35827,105,5544.873786407767,347.3137254901961
36000,35913,87,4494.752066115702,296.93333333333334
36000,35472,115,5532.846153846154,338.7864077669903
36000,36000,70,4364.492063492064,287.056
36000,35548,55,4014.6953125,279.40157480314963
36000,35781,104,4817.637096774193,289.8861788617886
36000,36000,72,4731.966386554622,300.1694915254237
36000,35843,98,4998.318965517241,308.5826086956522
36000,35985,81,4029.253623188406,258.1021897810219
