duration,service_usage,lost_cars,mean_delay_time,effective_interarrival_mean
36000,35959,56,4205.866666666667,267.0149253731343
36000,35773,78,4623.859504132231,295.14166666666665
36000,35283,99,4739.849557522124,307.99107142857144
36000,36000,108,5949.33,348.7979797979798
36000,36000,79,5082.150442477876,318.05357142857144
36000,36000,70,4127.466101694915,307.35897435897436
36000,35838,76,5013.144144144144,312.8454545454546
36000,35887,93,4642.880341880342,308.13793103448273
36000,36000,94,4451.830508474576,299.88034188034186
36000,35923,88,4558.572580645161,290.5772357723577
36000,35878,87,4790.258333333333,299.2268907563025
36000,36000,85,4940.990909090909,325.8440366972477
36000,35871,105,5219.732142857143,322.3693693693694
36000,35916,114,4863.100917431193,327.1574074074074
36000,35825,137,5693.942857142857,344.2307692307692
36000,35710,97,5616.40594059406,353.82
36000,35640,103,5139.537037037037,328.6542056074766
36000,36000,61,4677.5,303.1217391304348
36000,35505,111,4955.558558558559,324.5181818181818
36000,35766,78,5085.981308411215,338.7358490566038
36000,35955,60,4031.3834586466164,259.84090909090907
36000,36000,63,4096.439393939394,264.60305343511453
36000,35919,72,4980.517543859649,312.2920353982301
36000,35534,83,5517.188679245283,334.752380952381
36000,35911,55,4858.295652173913,307.9824561403509
36000,35948,78,4295.123966942148,296.85833333333335
36000,35703,113,4570.806201550387,277.2265625
36000,35720,96,4603.0,312.27272727272725
36000,36000,74,4682.8983050847455,304.0854700854701
36000,35905,96,4420.238461538462,272.51937984496124
36000,35423,100,4479.033333333334,294.3193277310924
36000,35726,82,4770.689655172414,303.32173913043476
36000,35679,121,5704.306930693069,354.58
36000,35690,82,4373.808333333333,294.5042016806723
36000,36000,88,4583.387096774193,282.7560975609756
36000,36000,92,4150.283464566929,285.08730158730157
36000,35675,77,4534.608333333334,297.6386554621849
36000,35616,82,5003.018691588785,334.2641509433962
36000,35951,83,4604.847457627118,301.991452991453
36000,36000,76,4601.959016393443,296.8429752066116
36000,35857,64,4628.05737704918,290.1322314049587
36000,35652,59,4035.9453125,280.9448818897638
36000,36000,75,4205.320895522388,267.406015037594
36000,35917,64,4462.349206349207,287.192
36000,35971,122,6083.053191489362,386.16129032258067
36000,35794,91,5055.438596491228,312.95575221238937
36000,35467,50,3951.5954198473282,276.26153846153846
36000,35852,70,4797.077586206897,305.74782608695654
36000,35945,64,4560.803418803419,309.2931034482759
36000,36000,67,4121.6511627906975,277.5859375
36000,35970,41,3081.985507246377,259.75912408759126
36000,35712,82,4813.267241379311,306.1391304347826
36000,35625,73,4863.18487394958,299.70338983050846
36000,35964,65,3959.2805755395684,259.5652173913044
36000,35870,68,4191.0625,279.7244094488189
36000,36000,72,4482.3650793650795,285.672
36000,35850,100,5014.419642857143,298.5945945945946
36000,35442,92,4938.598214285715,315.06306306306305
